Tags,Ticket,Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(GBP),Min(pips),Min(GBP),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(GBP)
,76078643,21/11/2018 08:54,27/11/2018 09:31,AUDCHF,Buy,0.05,0.00000,0.72500,0.71937,0.72500,0.0000,0.4900,56.3,22.56,0.00,"sc",0,06:00:36:18,99.9,6d ,44.6,0.02,58.8,22.932,-1.0,-0.39,98.3,95.8,-2.50,-0.98
,74769574,18/09/2018 12:27,21/11/2018 08:54,AUDCHF,Buy,0.05,0.00000,0.00000,0.69313,0.71910,0.0000,6.2100,259.7,108.24,0.02,"Zone",0,63:20:27:10,0.3,4h 35m,0.0,0.00,259.7,101.283,0.0,0.0,100.0,100.0,0.00,0.00
,73802999,08/08/2018 12:33,08/11/2018 10:20,NZDUSD,Buy,2.00,0.00000,0.00000,0.67400,0.67874,0.0000,-369.7800,47.4,352.03,0.06,"",0,91:21:46:36,0.2,4h 37m,0.0,0.02,47.4,721.902,0.0,0.0,100.0,100.0,0.00,0.00
,73802985,08/08/2018 11:06,08/11/2018 10:20,NZDUSD,Buy,2.00,0.00000,0.68235,0.67487,0.67874,0.0000,-369.7800,38.7,219.55,0.04,"Bet",0,91:23:13:26,0.2,4h 38m,0.0,0.03,38.7,589.4010000000001,0.0,0.0,100.0,100.0,0.00,0.00
,27407071,29/08/2018 15:26,08/11/2018 08:11,AUDCHF,Buy,0.01,0.00000,0.73000,0.71201,0.73000,0.0000,1.4500,179.9,15.12,0.00,"[tp]",0,70:16:44:49,0.3,5h 5m,0.0,0.01,179.9,14.392000000000001,0.0,0.0,100.0,100.0,0.00,0.00
,27406489,29/08/2018 15:26,01/11/2018 14:26,AUDCHF,Buy,0.01,0.00000,0.72000,0.71201,0.72000,0.0000,1.3200,79.9,7.49,0.00,"[tp]",0,63:22:59:23,0.3,4h 36m,0.0,0.01,79.9,6.392,0.0,0.0,100.0,100.0,0.00,0.00
,27413334,29/08/2018 14:30,30/10/2018 17:46,AUDCHF,Buy,0.01,0.00000,0.71469,0.71309,0.71469,0.0000,1.2300,16.0,2.48,0.00,"[tp]",0,62:03:16:18,0.3,4h 28m,0.0,0.06,16.0,1.28,0.0,0.0,100.0,100.0,0.00,0.00
,27405669,29/08/2018 16:34,30/10/2018 17:44,AUDCHF,Buy,0.01,0.00000,0.71460,0.71000,0.71460,0.0000,1.2300,46.0,4.82,0.00,"jay",0,62:01:09:52,0.3,4h 28m,0.0,0.02,46.0,3.68,0.0,0.0,100.0,100.0,0.00,0.00
,74769597,18/09/2018 12:28,30/10/2018 17:36,AUDCHF,Buy,0.05,0.00000,0.71400,0.69308,0.71400,0.0000,4.2000,209.2,85.92,0.02,"Z",0,42:05:08:16,100.0,42d 5h ,143.3,0.00,213.1,83.109,0.0,0.0,100.0,98.2,-3.90,-1.52
,27405636,29/08/2018 16:34,30/10/2018 15:58,AUDCHF,Buy,0.01,0.00000,0.71360,0.71000,0.71360,0.0000,1.2300,36.0,4.04,0.00,"jay",0,61:23:23:31,0.3,4h 27m,0.0,0.03,36.0,2.88,0.0,0.0,100.0,100.0,0.00,0.00
,74769594,18/09/2018 12:28,30/10/2018 15:54,AUDCHF,Buy,0.05,0.00000,0.71300,0.69313,0.71300,0.0000,4.2000,198.7,81.85,0.01,"z",0,42:03:26:51,100.0,42d 3h ,143.3,0.00,205.2,80.02799999999999,0.0,0.0,100.0,96.8,-6.50,-2.54
,27405625,29/08/2018 16:34,30/10/2018 15:53,AUDCHF,Buy,0.01,0.00000,0.71260,0.71000,0.71260,0.0000,1.2300,26.0,3.26,0.00,"jay",0,61:23:18:10,0.3,4h 27m,0.0,0.04,26.0,2.08,0.0,0.0,100.0,100.0,0.00,0.00
,73286610,17/07/2018 17:34,26/10/2018 10:30,GOLD,Buy,0.01,0.00000,0.00000,1229.41000,1234.14000,0.0000,-10.1700,473.0,-6.48,0.00,"to #75537923",0,100:16:56:40,,,,,,,,,,,,
,75249484,11/10/2018 18:19,11/10/2018 18:29,GOLD,Sell,5.00,0.00000,1215.20000,1217.84000,1215.20000,0.0000,0.0000,264.0,1000.80,0.18,"sc[tp]",0,00:00:09:31,,,,,,,,,,,,
,73802734,08/08/2018 11:03,11/10/2018 18:19,GOLD,Buy,0.22,0.00000,0.00000,1214.64000,1217.85000,0.0000,-142.0000,321.0,-88.46,-0.02,"zone",0,64:07:16:00,,,,,,,,,,,,
,73802993,08/08/2018 11:07,11/10/2018 18:19,GOLD,Buy,2.00,0.00000,1220.00000,1214.23000,1217.95000,0.0000,-1290.8100,372.0,-726.72,-0.13,"",0,64:07:12:12,,,,,,,,,,,,
